full_name,first_name,second_name,now_cost,team,element_type,total_points,pos,team_name,GF,GA,is_available,y_pred,y_pred_delta_1,y_pred_delta_2,y_pred_delta_3,y_pred_delta_4,y_pred_delta_5,y_pred_delta_6,y_pred_delta_7,y_pred_delta_8,y_pred_delta_9,y_pred_delta_10,y_pred_delta_11,y_pred_delta_12,y_pred_delta_13,y_pred_delta_14,y_pred_delta_15,y_pred_delta_16,y_pred_delta_17,y_pred_delta_18,picked_by,pick
Jannik_Schuster,Jannik,Schuster,45,4,2,0,DEF,Brentford,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Maxim_De_Cuyper,Maxim,De Cuyper,45,5,2,84,DEF,Brighton,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Igor_Julio_dos_Santos_de_Paulo,Igor Julio,dos Santos de Paulo,45,5,2,6,DEF,Brighton,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Benoit_Badiashile_Mukinayi,Benoît,Badiashile Mukinayi,45,6,2,7,DEF,Chelsea,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tosin_Adarabioyo,Tosin,Adarabioyo,45,6,2,34,DEF,Chelsea,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jorrel_Hato,Jorrel,Hato,45,6,2,19,DEF,Chelsea,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ethan_Pinnock,Ethan,Pinnock,45,4,2,14,DEF,Brentford,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Timothy_Castagne,Timothy,Castagne,45,10,2,61,DEF,Fulham,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jorge_Cuenca_Barreno,Jorge,Cuenca Barreno,45,10,2,39,DEF,Fulham,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Antonee_Robinson,Antonee,Robinson,45,10,2,65,DEF,Fulham,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ryan_Sessegnon,Ryan,Sessegnon,45,10,2,95,DEF,Fulham,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Calvin_Bassey,Calvin,Bassey,45,10,2,103,DEF,Fulham,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gabriel_Gudmundsson,Gabriel,Gudmundsson,45,13,2,68,DEF,Leeds,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kenny_Tete,Kenny,Tete,45,10,2,81,DEF,Fulham,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Takehiro_Tomiyasu,Takehiro,Tomiyasu,45,8,2,0,DEF,Crystal Palace,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Vitalii_Mykolenko,Vitalii,Mykolenko,45,9,2,95,DEF,Everton,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Rio_Cardines,Rio,Cardines,45,8,2,2,DEF,Crystal Palace,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tyrick_Mitchell,Tyrick,Mitchell,45,8,2,135,DEF,Crystal Palace,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Borna_Sosa,Borna,Sosa,45,8,2,6,DEF,Crystal Palace,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oscar_Mingueza,Oscar,Mingueza,45,8,2,0,DEF,Crystal Palace,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Chadi_Riad_Dnanou,Chadi,Riad Dnanou,45,8,2,20,DEF,Crystal Palace,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
James_Justin,James,Justin,45,13,2,94,DEF,Leeds,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,,
Jenson_Seelt,Jenson,Seelt,45,20,2,2,DEF,Sunderland,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,,
Ashley_Phillips,Ashley,Phillips,45,19,2,0,DEF,Spurs,0,0,True,52.64709112876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78922124995421,0.0,0.0,,
