full_name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,threat,ewma_total_points,value,yellow_cards,ewma_team_goals,ewma_team_points,ewma_team_goals_nw_opponent,ewma_team_points_nw_opponent,intercept,predicted_points
alex_cairns,GK,Leeds,-0.03282213285619826,0.0,-0.0,-0.0,-0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,0.0,-0.0,0.0,-0.0,-0.0,-0.7025723461508813,-0.0,0.0,0.0,-0.0,-0.0,-0.4315550138641115,0.0,-0.07363173863140303,-0.14219915143641187,0.0,-0.0006918857215045404,-0.0,0.0,0.0,1.631162507608034,0.23665461520066056
alex_palmer,GK,Ipswich Town,-0.03954260548781904,0.0,-0.0,-0.0,-0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,0.0,-0.0,0.0,-0.0,-0.0,-0.7025723461508813,-0.0,0.0,0.0,-0.0,-0.0,-0.4315550138641115,0.0,-0.07363173863140303,-0.14219915143641187,0.0,-0.000955890261339843,-0.0,0.0,0.0,1.631162507608034,0.22967013802920455
alfie_mcnally,GK,Fulham,-0.03954260548781904,0.0,-0.0,-0.0,-0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,0.0,-0.0,0.0,-0.0,-0.0,-0.7025723461508813,-0.0,0.0,0.0,-0.0,-0.0,-0.4315550138641115,0.0,-0.07363173863140303,-0.14219915143641187,0.0,-5.473917932753129e-06,-0.0,0.0,0.0,1.631162507608034,0.23062055437261164
alisson_becker,GK,Liverpool,0.03292649105649175,0.0,0.0,0.0,0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,-0.0,0.0,0.0,0.0,0.0,0.7213971627657603,-0.0,0.0,0.0,-0.0,0.0,0.44288579755512353,0.0,0.15588585193840632,0.2881769366498398,-0.0,0.0006281369776719735,0.0,-0.0,-0.0,1.631162507608034,3.262027260804464
altay_bayindir,GK,Man Utd,-0.044022920575566234,0.0,-0.0,-0.0,-0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,0.0,-0.0,0.0,-0.0,-0.0,-0.7025723461508813,-0.0,0.0,0.0,-0.0,-0.0,-0.4315550138641115,0.0,-0.07363173863140303,0.0012595445923386623,0.0,0.0011561460573425795,-0.0,0.0,0.0,1.631162507608034,0.3707605552888902
anthony_patterson,GK,Sunderland,-0.044022920575566234,0.0,-0.0,-0.0,-0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,0.0,-0.0,0.0,-0.0,-0.0,-0.7025723461508813,-0.0,0.0,0.0,-0.0,-0.0,-0.4315550138641115,0.0,-0.07363173863140303,-0.14219915143641187,0.0,-0.0006918857215045404,-0.0,0.0,0.0,1.631162507608034,0.2254538274812925
antonin_kinsky,GK,Spurs,0.024973931775740494,0.0,-0.0,0.0,0.0,0.0,-0.011622713944941014,-0.0,0.0005870901980778237,-0.0,0.0,0.0,0.0,0.0,0.7213971627657603,-0.0,0.0,0.0,-0.0,-0.0,0.44288579755512353,0.0,0.11285130370656703,0.0012595445923386623,0.0,-0.0020119084206810544,-0.0,0.0,-0.0,1.631162507608034,2.92148271583602
armin_pecsi,GK,Liverpool,-0.044022920575566234,0.0,-0.0,-0.0,-0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,0.0,-0.0,0.0,-0.0,-0.0,-0.7025723461508813,-0.0,0.0,0.0,-0.0,-0.0,-0.4315550138641115,0.0,-0.07363173863140303,-0.14219915143641187,0.0,0.0006281369776719735,0.0,-0.0,-0.0,1.631162507608034,0.22677385018046903
bart_verbruggen,GK,Brighton,0.035054640723171666,0.0,-0.0,0.0,0.0,0.0,1.7214248661909648,0.0,0.0005870901980778237,-0.0,0.0,0.0,0.0,0.0,0.7213971627657603,-0.0,0.0,0.0,-0.0,0.0,0.44288579755512353,0.0,0.0500925875351348,0.0012595445923386623,0.0,0.0005753360697049129,-0.0,-0.0,-0.0,1.631162507608034,4.604439533238311
ben_wilson,GK,Coventry City,-0.03551032190884657,0.0,-0.0,-0.0,-0.0,-0.0,-0.011622713944941014,-0.0,0.0005870901980778237,0.0,-0.0,0.0,-0.0,-0.0,-0.7025723461508813,-0.0,0.0,0.0,-0.0,-0.0,-0.4315550138641115,0.0,-0.07363173863140303,0.0012595445923386623,0.0,-0.0020119084206810544,-0.0,0.0,-0.0,1.631162507608034,0.3761050994775861
