team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Newcastle,2,Arsenal,1.5,1.7527855153203342,2.1949404761904763,2.940904565495662,4.0,5.4961911357340725,4.900390362094495,7.882758620689655,0.6,0.6426230044067843,0.46401669702517867,0.6696271348362365,1.7777777777777777,1.9787197118432385,1.0180761773579474,1.5215780125268767,1.0666666666666667,1.2715708061036284,0.5,1.0188899249581875
Fulham,2,Aston Villa,6.0,8.436490250696378,6.584015013973604,3.3275862068965516,2.5,2.8492869686326756,3.0877945996566254,4.214285714285714,2.4,3.093066815171756,1.3918796127221706,0.7576723310874144,1.1111111111111112,1.0257904338289607,0.6415019804955515,0.8134670601904406,2.0,2.0,0.8928935281726537,0.6163414837573171
Nott'm Forest,2,Bournemouth,3.0,5.71102413568167,3.628917716125367,2.5168539325842696,1.5,2.706013363028953,5.50593471810089,2.3020787262273332,1.2,2.0938303381864087,0.7671635885703724,0.5730732331307963,0.6666666666666666,0.9742095661710394,1.1438804985712834,0.4443612371612787,0.7999999999999999,2.0,0.8775434681796125,0.5
Everton,2,Brentford,2.5,2.613081211563883,2.344569288389513,6.3817187974491345,5.0,6.333333333333334,4.680299748136939,6.067415730337078,1.0,0.958032847862285,0.49564865605529346,1.4530808390738037,2.2222222222222223,2.2801047486982546,0.9723514504742504,1.1711694867719922,2.0,2.0,0.5,1.7018039405362824
Man City,2,Brighton,1.5,0.8317484844882919,4.687119955776672,9.0,1.5,3.9401908023483365,6.390012268823556,7.5,0.6,0.30494359140968363,0.9908705698548317,2.049248480972178,0.6666666666666666,1.4185338567176253,1.3275512322927927,1.447695615593157,0.5,0.5,1.3154314460534435,2.0
Leeds,2,Chelsea,1.0,1.1781328143905785,6.295798391977176,6.247993579454254,6.0,5.099212598425197,4.601489757914338,5.364864864864865,0.4,0.43193833025002454,1.330949794161145,1.4226323724245056,2.6666666666666665,1.8358008726775668,0.955978352077014,1.0355588457486187,1.0666666666666667,0.7929527636158861,1.2723591909194123,1.47321953751254
Sunderland,2,Coventry City,8.0,6.4164872728626285,5.769158503895583,3.5,3.5,4.116438356164384,5.200246760324573,6.573033707865168,3.2,2.3524739866824484,1.2196166149519043,0.7969299648225137,1.5555555555555556,1.4819858910969548,1.0803725727691738,1.2687669440029914,2.0,2.0,1.3176403400876195,1.011118396052272
Spurs,2,Crystal Palace,3.5,4.5625,7.441394300835128,11.05056179775281,1.5,1.940609560213895,2.26123595505618,2.802568218298555,1.4,1.6727474251577867,1.573132047174413,2.5161496642149026,0.6666666666666666,0.6986515379388841,0.46978103520797665,0.5409687629375393,0.9333333333333332,1.168667561169796,0.7390276016404393,1.3611583712160407
Brentford,2,Everton,2.5,2.426781737193764,4.044396856234546,4.283707865168539,4.5,6.344531475054527,6.390767421346663,1.9730092818759162,1.0,0.8897299511914103,0.8549970675952462,0.9753757595139111,2.0,2.2841362649269525,1.3277081183237494,0.3808422515861823,2.0,2.0,1.1351865477892078,0.5
Aston Villa,2,Fulham,4.0,4.530534351145038,6.796013045331536,10.5561797752809,1.5,0.8770871912979878,1.9303902116402114,3.033707865168539,1.6,1.6610278729790173,1.4366966031388217,2.4035817077070676,0.6666666666666666,0.3157658952475194,0.40104647635374824,0.5855847433859961,1.0666666666666667,0.5244959533423024,0.5761821102782239,1.4075007775149175
Ipswich Town,2,Hull City,1.5,2.381615598885794,2.551175773980714,3.0630791161796154,2.0,2.365756619563726,4.494051688773418,8.0,0.6,0.873170709205881,0.5393258582700882,0.697445580658742,0.8888888888888888,0.851711510926039,0.933657652979288,1.544208656632701,0.5333333333333333,0.743689544034102,0.5035457150234907,1.07700150318345
Hull City,2,Ipswich Town,1.5,1.9991199204101937,7.264329469515717,6.01685393258427,10.0,7.752878843868287,3.891746160190473,3.0,0.6,0.7329364820707488,1.535700035199878,1.3700031979533098,4.444444444444445,2.791164610734681,0.8085262114344567,0.5790782462372628,2.0,2.0,1.2416537313599192,0.7933390492102442
Chelsea,2,Leeds,2.0,3.163857362404359,3.8684210526315788,2.979996346364633,2.0,1.9879811596556765,7.924895097466404,10.0,0.8,1.1599636726637585,0.81779527919599,0.678528109565596,0.8888888888888888,0.7157060972295111,1.6464294292144714,1.930260820790876,0.7111111111111111,0.8301930730901887,1.3464422147409432,1.3097362256997687
Man Utd,2,Liverpool,1.0,2.573863741524718,6.537904027563806,3.2722323049001814,1.5,2.009422511321019,5.8345269826268655,6.4565217391304355,0.4,0.9436545635819088,1.3821316182582923,0.7450685644671984,0.6666666666666666,0.723425338453299,1.2121468879523556,1.2462770951628048,0.5,0.6826636220422426,1.6753465398123422,0.928561886221301
Brighton,2,Man City,1.5,1.1272321428571428,4.0083810646900275,3.9234387248497518,3.0,4.133024118738405,8.483293974079388,5.361294072065091,0.6,0.41327663879876825,0.8473832262111554,0.8933445385650858,1.3333333333333333,1.4879570399399769,1.7624390839024984,1.034869589604562,0.7999999999999999,0.6149378841433581,1.4934613169179323,0.9244950960003272
Liverpool,2,Man Utd,6.0,6.375452414012884,3.502447467344566,5.5,1.0,1.4333454203820606,5.836123765862351,5.0,2.4,2.3374293939191335,0.7404274161102097,1.2523185161496642,0.4444444444444444,0.5160280578217945,1.2124786262124394,0.965130410395438,1.0666666666666667,1.2061791504396646,0.8977524162953332,1.2086506834373314
Arsenal,2,Newcastle,1.5,1.1281337047353759,4.773489932885906,2.2857142857142856,6.0,8.147632311977716,6.249736659945225,4.0,0.6,0.41360717804489094,1.0091294301451683,0.5204440586596006,2.6666666666666665,2.933282388187536,1.2984083997609024,0.7721043283163505,1.5999999999999999,1.213226650987025,1.3102621285464193,0.5
Bournemouth,2,Nott'm Forest,4.5,4.731952662721893,5.58079025755745,4.5,2.5,2.25,4.726375239693192,5.561797752808989,1.8,1.734873782473771,1.1797950287000774,1.024624240486089,1.1111111111111112,0.8100372133533272,0.9819238226420525,1.0735720295409927,2.0,1.4053123242747998,1.15846884451527,1.1000079253755488
Crystal Palace,2,Spurs,7.0,8.809014869888475,6.390767421346663,5.905617977528089,1.5,1.3040138800509067,3.3264026812313805,2.645348837209302,2.8,3.2296453571030366,1.3510265187036707,1.3446754077390468,0.6666666666666666,0.46946656425355393,0.6910737871531158,0.5106213217789817,1.8666666666666665,1.5162105095566047,0.9336590128248357,0.6866199340634032
Coventry City,2,Sunderland,2.5,2.8420161108183395,4.055203705454201,6.0,1.5,2.504874651810585,2.60351966873706,2.530608009960573,1.0,1.041967152137715,0.8572816664417975,1.366165653981452,0.6666666666666666,0.9017963034453476,0.5408918792524848,0.4884733494406461,0.6666666666666666,0.9396421261092675,0.5,0.6673355128910906
