team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Newcastle,3,Arsenal,2.0,1.920089438884398,2.4818121693121693,2.605764333986355,3.3333333333333335,4.164127423822715,5.200101132406672,5.767992926613616,0.8,0.565377335135057,0.5245445210775032,0.5621679679818656,1.1111111111111112,1.103486004525132,1.1163750631537481,1.2892812499519064,0.888888888888889,0.6238859765972505,0.5855884228448501,0.7247926204425831
Sunderland,3,Aston Villa,6.0,7.968076833797586,5.733881157775119,2.8850574712643677,3.0,3.7465194089351272,4.822252860296703,5.933746609841147,2.4,2.346229272039181,1.2118870166770286,0.6224227091367052,1.0,0.9928206590869432,1.035257335267545,1.3263310727611013,2.0,2.0,1.2546149235303954,0.8255385795201571
Nott'm Forest,3,Bournemouth,2.6666666666666665,4.30734942378778,4.352452701760587,2.1907231345433593,3.0,4.008908685968819,4.493793877107911,2.5347191508182223,1.0666666666666667,1.2683147406568689,0.9199145874888016,0.4726269205907216,1.0,1.0623533283534239,0.9647426647324551,0.5665689810342005,1.0666666666666667,1.3473983861365344,0.8874808504602036,0.5
Everton,3,Brentford,2.3333333333333335,2.7442813125347936,2.918467879006663,5.806203336230458,3.6666666666666665,5.706321162151551,4.379741816824117,4.711610486891385,0.9333333333333333,0.8080636369956471,0.6168340839016452,1.2526311334627767,1.222222222222222,1.5121644702167276,0.9402575878541122,1.0531550809983783,1.1407407407407406,1.2219251215389249,0.5799829278355619,1.319214842823081
Hull City,3,Brighton,2.0,2.492138187877124,4.2141321120447826,5.51123595505618,8.666666666666666,7.512335895912192,3.939035255253033,2.6666666666666665,0.8,0.7338191747301773,0.8906797773831912,1.1889948287007113,2.888888888888889,1.990755007881287,0.8456452326366111,0.596062335191451,2.0,1.4608541969734137,0.7531991075499337,0.7087150341259052
Leeds,3,Chelsea,1.6666666666666667,1.704641931970692,5.938270356556213,7.199036918138042,5.0,5.337114263835061,4.157045313469895,4.250733879947363,0.6666666666666667,0.501938031291411,1.2550857872019379,1.5531212484994,1.6666666666666667,1.4143253304402679,0.892448359405294,0.9501383860345659,1.1111111111111114,0.7099036719667624,1.1200992517012713,1.4756801163652098
Crystal Palace,3,Coventry City,7.666666666666667,6.527658181908419,5.255501642418085,5.333333333333333,1.6666666666666667,2.936009253367271,3.5659163942291605,3.4302325581395348,3.066666666666667,1.9220927488170672,1.1107789002454016,1.1506140917905625,0.5555555555555556,0.7780369788186866,0.7655428305037895,0.7667371608203984,1.703703703703704,1.4954592352989355,0.8503488233577512,0.8822185819394373
Coventry City,3,Crystal Palace,2.6666666666666665,3.459493964716806,6.806032039584846,8.294876250048263,1.6666666666666667,2.6158623804863357,2.697778904522471,2.7981831177514933,1.0666666666666667,1.0186606098014999,1.4384919458395653,1.7895377818058231,0.5555555555555556,0.6931986543246955,0.579168177353746,0.6254593362975938,0.5925925925925926,0.7061341639279735,0.8331287584099446,1.1192831132877383
Brentford,3,Everton,2.3333333333333335,2.6178544914625093,4.379049870629607,10.355805243445692,3.6666666666666665,5.23340512215531,5.662380773109613,2.272786329761249,0.9333333333333333,0.7708367986307764,0.9255360440111475,2.234162895927602,1.222222222222222,1.3868426012302524,1.2156187989857838,0.5080208726657616,1.1407407407407406,1.069029310937106,1.1250990142388848,1.1350013840666053
Man City,3,Fulham,3.3333333333333335,5.087022900763359,5.8789899702959305,8.704119850187267,3.3333333333333335,4.876793868232224,5.669404152370066,8.0,1.3333333333333335,1.4978924383208143,1.242556554649739,1.877828054298643,1.1111111111111112,1.292341283737179,1.217126601481504,1.7881870055743532,1.4814814814814816,1.9357882366397345,1.5123486365094037,2.0
